,번호,부스번호,주 전시품목,홈페이지,회사명
26,148,,스마트보드,www.iotspace.co.kr/,(주)아이오티스페이스
27,147,,이지스 시리즈,www.iuplusinc.co.kr,(주)아이유플러스
28,146,,사물인터넷 센서 모듈 솔루션,www.stechnopia.com,(주)에스테크노피아
29,145,,멀티 USB아답터 및 와이파이 젠더,www.hnbit.co.kr,(주)에이치앤비트
30,144,,차량용 스마트 이더넷 카메라,www.atusguru.com,(주)에이투스
31,143,,SMP2 전자파 강도 측정기,www.aplustech.co.kr,(주)에이프러스텍
32,142,,IoT 스마트 온습도계/터치무드등 미나엘,www.elssen.com,(주)엘센
33,141,,급식(식수)관리시스템,www.mitsoft.co.kr,(주)엠아이티소프트
34,140,,보급형 열화상 IP 카메라,www.emtake.com,(주)엠테이크
35,139,,실내운동기구를 VR운동기구로 바꿔주는 IoT 센서,mtome.co.kr,(주)엠투미
36,138,,장비접근경보시스템,www.smartyoungshine.com,(주)영신디엔씨
37,137,,비디오월,www.oickorea.com,(주)오아이씨 코리아
38,136,,아울ITS,www.wisestone.kr,(주)와이즈스톤
39,135,,TMF 배터리,www.ukbkorea.com,(주)유케이비
40,134,,스마트 IoT 에어샤워,www.innowater.net/,(주)이노워터앤솔루션
41,133,,모키보,www.innopresso.com,(주)이노프레소
42,132,,오케스트라 7,www.enterprise1.co.kr,(주)이원정보기술
43,131,,UBoard,iyulab.com,(주)이유랩
44,130,,"www.LOOK360.kr, 온라인 360 파노라마 VR(가상현실) 플랫폼 서비스",www.look360.kr,(주)인디스팟
45,129,,전사장비,www.inkchem.com,(주)잉켐테크
46,128,,제로백,www.zeronsoftn.com,(주)제론소프트엔
47,127,,단안 홍채인식기,www.jtwoc.com,(주)제이투씨
48,126,,볼트 와셔 조립기,gsti.co.kr,(주)지에스티
49,125,,3DCrafts,www.contrixlab.com,(주)컨트릭스랩
50,124,,스마트 몹 양방향 플랫폼 땡기지,www.kseek.com,(주)케이시크
51,123,,디노 앤 미,,(주)케이쓰리아이
52,122,,엔드포인트 암호화 솔루션,www.koreaitc.kr,(주)코리아아이티씨
53,121,,코발트포스,www.cobaltray.com/,(주)코발트레이
54,120,,모바일연동 양방향 외국동전 무인환전 키오스크,www.cointravit.com,(주)코인트래빗
55,119,,직시형 리얼 홀로그램 시스템,www.qmiix.co.kr,(주)큐미스
56,118,,드론영상 기반의 AR 3D 골프코스 정보,www.teslasystem.co.kr,(주)테슬라시스템
57,117,,무선전력 수족관,www.power-republic.com,(주)파워리퍼블릭
